gun,state,year,count_guns,latitude,longitude,n_killed,n_injured,fip,state_abbr,population,count_total_guns,gun_percentage,total_guns_per_1M
12 gauge,Delaware,2018,1,39.1601,-75.5255,0,0,10,DE,965479,83,1.2048192771084338,85.96769064889034
22 LR,Delaware,2018,3,39.1036,-75.49035,0,0,10,DE,965479,83,3.6144578313253013,85.96769064889034
25 Auto,Delaware,2018,1,39.1553,-75.5274,0,0,10,DE,965479,83,1.2048192771084338,85.96769064889034
32 Auto,Delaware,2018,1,39.1603,-75.5633,0,0,10,DE,965479,83,1.2048192771084338,85.96769064889034
38 Spl,Delaware,2018,3,38.752100000000006,-75.49506666666667,0,0,10,DE,965479,83,3.6144578313253013,85.96769064889034
380 Auto,Delaware,2018,3,39.15835,-75.52525,0,0,10,DE,965479,83,3.6144578313253013,85.96769064889034
40 SW,Delaware,2018,4,39.38955,-75.5692,0,0,10,DE,965479,83,4.819277108433735,85.96769064889034
45 Auto,Delaware,2018,1,39.0471,-75.4552,0,0,10,DE,965479,83,1.2048192771084338,85.96769064889034
9mm,Delaware,2018,23,39.262330000000006,-75.594685,0,0,10,DE,965479,83,27.710843373493976,85.96769064889034
Handgun,Delaware,2018,23,39.20168181818182,-75.56348636363636,0,2,10,DE,965479,83,27.710843373493976,85.96769064889034
Other,Delaware,2018,2,39.40755,-75.63489999999999,0,0,10,DE,965479,83,2.4096385542168677,85.96769064889034
Rifle,Delaware,2018,8,39.1586,-75.5172,0,0,10,DE,965479,83,9.63855421686747,85.96769064889034
Shotgun,Delaware,2018,10,39.309079999999994,-75.5742,0,0,10,DE,965479,83,12.048192771084338,85.96769064889034
12 gauge,District of Columbia,2016,1,38.9015,-77.0198,0,0,11,DC,685815,136,0.7352941176470589,198.30420740287104
22 LR,District of Columbia,2016,2,38.9203,-77.05215000000001,0,0,11,DC,685815,136,1.4705882352941178,198.30420740287104
38 Spl,District of Columbia,2016,3,38.94755,-77.06790000000001,0,1,11,DC,685815,136,2.2058823529411766,198.30420740287104
40 SW,District of Columbia,2016,2,38.8795,-77.02865,0,0,11,DC,685815,136,1.4705882352941178,198.30420740287104
45 Auto,District of Columbia,2016,4,38.924425,-77.01975,0,1,11,DC,685815,136,2.9411764705882355,198.30420740287104
9mm,District of Columbia,2016,2,38.898,-77.03385,0,0,11,DC,685815,136,1.4705882352941178,198.30420740287104
Handgun,District of Columbia,2016,108,38.902989320388286,-77.01217378640783,1,14,11,DC,685815,136,79.41176470588235,198.30420740287104
Other,District of Columbia,2016,3,38.9328,-77.03009999999999,0,0,11,DC,685815,136,2.2058823529411766,198.30420740287104
Rifle,District of Columbia,2016,5,38.88935,-77.0049,0,2,11,DC,685815,136,3.676470588235294,198.30420740287104
Shotgun,District of Columbia,2016,6,38.90156666666667,-77.01085,0,2,11,DC,685815,136,4.411764705882353,198.30420740287104
12 gauge,Florida,2014,1,30.6082,-87.1151,1,0,12,FL,19845911,86,1.1627906976744187,4.333386358529976
22 LR,Florida,2014,16,27.512243749999996,-81.72391250000001,2,0,12,FL,19845911,86,18.6046511627907,4.333386358529976
25 Auto,Florida,2014,1,27.4735,-82.566,0,0,12,FL,19845911,86,1.1627906976744187,4.333386358529976
357 Mag,Florida,2014,2,30.53485,-84.48865,0,0,12,FL,19845911,86,2.3255813953488373,4.333386358529976
38 Spl,Florida,2014,10,28.758819999999996,-82.30753000000001,0,4,12,FL,19845911,86,11.627906976744185,4.333386358529976
380 Auto,Florida,2014,13,28.765138461538466,-82.51514615384616,3,3,12,FL,19845911,86,15.116279069767442,4.333386358529976
40 SW,Florida,2014,2,28.591549999999998,-82.446,0,0,12,FL,19845911,86,2.3255813953488373,4.333386358529976
44 Mag,Florida,2014,1,24.5764,-81.659,0,0,12,FL,19845911,86,1.1627906976744187,4.333386358529976
45 Auto,Florida,2014,8,27.223524999999995,-80.9795625,0,1,12,FL,19845911,86,9.30232558139535,4.333386358529976
9mm,Florida,2014,13,28.062376923076922,-81.69846153846153,1,3,12,FL,19845911,86,15.116279069767442,4.333386358529976
Handgun,Florida,2014,7,27.386066666666668,-82.04746666666666,4,3,12,FL,19845911,86,8.13953488372093,4.333386358529976
Other,Florida,2014,7,30.289028571428567,-81.7849,0,2,12,FL,19845911,86,8.13953488372093,4.333386358529976
Rifle,Florida,2014,4,29.114849999999997,-83.184325,2,0,12,FL,19845911,86,4.651162790697675,4.333386358529976
Shotgun,Florida,2014,1,29.8425,-81.3274,2,0,12,FL,19845911,86,1.1627906976744187,4.333386358529976
12 gauge,Florida,2015,12,28.431825000000003,-81.53743333333334,3,1,12,FL,20209042,521,2.3032629558541267,25.78053922595638
22 LR,Florida,2015,34,28.183491176470593,-81.70575,1,11,12,FL,20209042,521,6.525911708253359,25.78053922595638
25 Auto,Florida,2015,15,27.74457333333333,-81.51866,0,2,12,FL,20209042,521,2.8790786948176583,25.78053922595638
32 Auto,Florida,2015,10,28.494020000000006,-81.58452,0,1,12,FL,20209042,521,1.9193857965451055,25.78053922595638
357 Mag,Florida,2015,7,28.03917142857143,-81.49742857142857,1,1,12,FL,20209042,521,1.3435700575815739,25.78053922595638
38 Spl,Florida,2015,25,28.221620833333333,-81.67546250000001,3,7,12,FL,20209042,521,4.798464491362764,25.78053922595638
380 Auto,Florida,2015,85,28.258696470588223,-81.96677411764705,4,4,12,FL,20209042,521,16.314779270633398,25.78053922595638
40 SW,Florida,2015,33,28.35766363636364,-82.37786363636366,1,11,12,FL,20209042,521,6.333973128598848,25.78053922595638
410 gauge,Florida,2015,1,29.7179,-81.6513,0,2,12,FL,20209042,521,0.19193857965451055,25.78053922595638
44 Mag,Florida,2015,2,27.372,-80.79525000000001,1,0,12,FL,20209042,521,0.3838771593090211,25.78053922595638
45 Auto,Florida,2015,33,28.28838484848485,-82.06029393939396,3,3,12,FL,20209042,521,6.333973128598848,25.78053922595638
9mm,Florida,2015,82,28.09869125,-81.96040125,5,13,12,FL,20209042,521,15.738963531669866,25.78053922595638
Handgun,Florida,2015,115,28.106581578947356,-81.71138859649125,32,40,12,FL,20209042,521,22.072936660268713,25.78053922595638
Other,Florida,2015,12,27.665833333333335,-82.05142500000001,0,0,12,FL,20209042,521,2.3032629558541267,25.78053922595638
Rifle,Florida,2015,28,28.693778571428574,-81.78661785714287,10,23,12,FL,20209042,521,5.3742802303262955,25.78053922595638
Shotgun,Florida,2015,27,29.084785185185183,-81.96665185185185,3,12,12,FL,20209042,521,5.182341650671785,25.78053922595638
12 gauge,Florida,2016,27,28.585376000000007,-82.22330399999998,3,0,12,FL,20613477,1667,1.6196760647870425,80.86942343593951
16 gauge,Florida,2016,1,27.5199,-80.9919,0,1,12,FL,20613477,1667,0.059988002399520096,80.86942343593951
22 LR,Florida,2016,75,28.56097285714285,-82.56287285714286,8,15,12,FL,20613477,1667,4.499100179964008,80.86942343593951
25 Auto,Florida,2016,11,28.678539999999998,-81.93973,2,1,12,FL,20613477,1667,0.6598680263947211,80.86942343593951
30-06 Spr,Florida,2016,1,27.8772,-82.8399,0,1,12,FL,20613477,1667,0.059988002399520096,80.86942343593951
300 Win,Florida,2016,1,26.3492,-80.0988,0,0,12,FL,20613477,1667,0.059988002399520096,80.86942343593951
308 Win,Florida,2016,2,28.4814,-82.44319999999999,0,0,12,FL,20613477,1667,0.11997600479904019,80.86942343593951
32 Auto,Florida,2016,13,28.056676923076925,-82.17574615384616,2,3,12,FL,20613477,1667,0.7798440311937612,80.86942343593951
357 Mag,Florida,2016,20,27.859584210526315,-81.63552631578949,1,3,12,FL,20613477,1667,1.1997600479904018,80.86942343593951
38 Spl,Florida,2016,41,28.205272972972974,-81.5236918918919,6,5,12,FL,20613477,1667,2.459508098380324,80.86942343593951
380 Auto,Florida,2016,62,28.079822950819665,-81.76717213114755,2,5,12,FL,20613477,1667,3.719256148770246,80.86942343593951
40 SW,Florida,2016,76,27.913545205479455,-81.77518082191781,9,15,12,FL,20613477,1667,4.559088182363527,80.86942343593951
410 gauge,Florida,2016,2,28.780450000000002,-82.31575000000001,0,0,12,FL,20613477,1667,0.11997600479904019,80.86942343593951
44 Mag,Florida,2016,1,26.5668,-80.0656,0,0,12,FL,20613477,1667,0.059988002399520096,80.86942343593951
45 Auto,Florida,2016,44,28.311387804878052,-81.90992926829266,5,6,12,FL,20613477,1667,2.6394721055788843,80.86942343593951
