gun,month,year,count_guns,latitude,longitude,n_killed,n_injured,count_total_guns,gun_percentage,date
9mm,2,2014,12,40.270599999999995,-96.14561818181818,7,5,63,19.047619047619047,2014-02-01
Handgun,2,2014,11,38.67455454545455,-95.51938181818181,3,6,63,17.46031746031746,2014-02-01
Other,2,2014,3,34.477533333333334,-83.75766666666667,0,0,63,4.761904761904762,2014-02-01
Rifle,2,2014,4,36.275200000000005,-110.83890000000001,2,2,63,6.349206349206349,2014-02-01
Shotgun,2,2014,6,39.749700000000004,-89.25496000000001,3,0,63,9.523809523809524,2014-02-01
22 LR,7,2013,1,37.1948,-85.5219,2,2,9,11.11111111111111,2013-07-01
38 Spl,7,2013,1,41.689,-87.6157,0,5,9,11.11111111111111,2013-07-01
9mm,7,2013,2,33.2801,-77.11500000000001,7,5,9,22.22222222222222,2013-07-01
Handgun,7,2013,5,34.827119999999994,-93.77568,5,15,9,55.55555555555556,2013-07-01
22 LR,8,2013,1,30.0194,-82.3278,4,1,10,10.0,2013-08-01
32 Auto,8,2013,1,30.0194,-82.3278,4,1,10,10.0,2013-08-01
380 Auto,8,2013,1,35.3867,-97.4356,4,0,10,10.0,2013-08-01
40 SW,8,2013,1,44.9553,-93.2489,2,2,10,10.0,2013-08-01
410 gauge,8,2013,1,30.0194,-82.3278,4,1,10,10.0,2013-08-01
44 Mag,8,2013,1,40.8959,-75.323,3,4,10,10.0,2013-08-01
45 Auto,8,2013,1,36.6799,-121.606,3,4,10,10.0,2013-08-01
9mm,8,2013,2,42.11795,-84.94215,4,4,10,20.0,2013-08-01
Handgun,8,2013,1,40.2281,-74.7611,1,0,10,10.0,2013-08-01
22 LR,9,2013,1,32.2337,-96.4661,5,0,8,12.5,2013-09-01
40 SW,9,2013,1,35.6864,-82.0201,0,4,8,12.5,2013-09-01
9mm,9,2013,1,38.873,-76.9977,11,3,8,12.5,2013-09-01
Handgun,9,2013,3,38.91813333333334,-82.3097,0,16,8,37.5,2013-09-01
Other,9,2013,1,33.7709,-84.05,3,1,8,12.5,2013-09-01
Shotgun,9,2013,1,38.873,-76.9977,11,3,8,12.5,2013-09-01
308 Win,11,2013,1,40.7122,-73.9359,4,1,2,50.0,2013-11-01
Handgun,11,2013,1,40.8007,-81.3868,1,3,2,50.0,2013-11-01
40 SW,3,2013,2,38.9062,-77.0099,0,26,8,25.0,2013-03-01
45 Auto,3,2013,1,37.0857,-120.828,1,3,8,12.5,2013-03-01
9mm,3,2013,2,38.9062,-77.0099,0,26,8,25.0,2013-03-01
Handgun,3,2013,2,35.6516,-92.3995,3,5,8,25.0,2013-03-01
Shotgun,3,2013,1,43.011,-75.0058,6,2,8,12.5,2013-03-01
40 SW,4,2013,2,38.5883,-106.1834,5,5,8,25.0,2013-04-01
45 Auto,4,2013,1,35.6141,-88.815,2,2,8,12.5,2013-04-01
9mm,4,2013,3,35.59346666666667,-87.0355,2,11,8,37.5,2013-04-01
Handgun,4,2013,1,41.1102,-81.4771,4,0,8,12.5,2013-04-01
Shotgun,4,2013,1,47.303,-122.31,5,0,8,12.5,2013-04-01
40 SW,6,2013,1,30.0165,-90.0689,0,4,3,33.333333333333336,2013-06-01
44 Mag,6,2013,1,34.026,-118.461,6,1,3,33.333333333333336,2013-06-01
Other,6,2013,1,35.5744,-77.3873,0,5,3,33.333333333333336,2013-06-01
40 SW,12,2013,1,30.2743,-89.7826,2,6,2,50.0,2013-12-01
Shotgun,12,2013,1,29.6456,-90.5388,3,3,2,50.0,2013-12-01
44 Mag,5,2013,1,39.9204,-75.2296,0,4,1,100.0,2013-05-01
9mm,10,2013,1,41.235,-75.9011,1,0,3,33.333333333333336,2013-10-01
Handgun,10,2013,1,36.1189,-95.8429,0,5,3,33.333333333333336,2013-10-01
Shotgun,10,2013,1,33.5042,-112.096,5,0,3,33.333333333333336,2013-10-01
