state,year,gun,count_guns,latitude,longitude,mean_n_killed,mean_n_injured,count_handgun,count_shotgun,fip,state_abbr,population
Alaska,2017,Unknown,313,60.94950544217693,-149.39224149659876,0.18849840255591055,0.18849840255591055,0,0,2, AK,739700
Alaska,2018,12 gauge,3,61.76656666666668,-158.3066666666667,0.0,0.6666666666666666,0,0,2, AK,735139
Alaska,2018,40 SW,1,64.7769,-147.305,0.0,0.0,0,0,2, AK,735139
Alaska,2018,45 Auto,1,64.8585,-147.764,1.0,0.0,0,0,2, AK,735139
Alaska,2018,9mm,1,61.3257,-149.578,0.0,1.0,0,0,2, AK,735139
Alaska,2018,Handgun,3,64.81923333333334,-147.58033333333333,0.0,0.0,3,0,2, AK,735139
Alaska,2018,Other,2,61.2169,-149.77100000000002,0.0,0.0,0,0,2, AK,735139
Alaska,2018,Rifle,4,61.9569,-146.78066666666666,0.0,0.5,0,0,2, AK,735139
Alaska,2018,Unknown,49,61.3145947368421,-148.70365789473684,0.20408163265306123,0.32653061224489793,0,0,2, AK,735139
Arizona,2013,Shotgun,1,33.5042,-112.096,5.0,0.0,0,1,4, AZ,6632764
Arizona,2014,12 gauge,1,34.5722,-112.449,1.0,0.0,0,0,4, AZ,6730413
Arizona,2014,22 LR,5,34.35322,-113.378,0.6,0.4,0,0,4, AZ,6730413
Arizona,2014,32 Auto,1,34.5859,-112.322,0.0,1.0,0,0,4, AZ,6730413
Arizona,2014,357 Mag,1,33.4347,-112.006,0.0,0.0,0,0,4, AZ,6730413
Arizona,2014,380 Auto,2,33.4347,-112.006,0.0,0.0,0,0,4, AZ,6730413
Arizona,2014,40 SW,2,34.315349999999995,-111.833,1.0,0.0,0,0,4, AZ,6730413
Arizona,2014,9mm,6,33.517599999999995,-112.14850000000001,0.0,0.0,0,0,4, AZ,6730413
Arizona,2014,Handgun,2,33.872550000000004,-111.8075,1.0,0.5,2,0,4, AZ,6730413
Arizona,2014,Rifle,7,33.08242857142858,-111.41071428571429,0.7142857142857143,0.7142857142857143,0,0,4, AZ,6730413
