state,year,count_perpetrators,latitude,longitude,mean_n_killed,mean_n_injured,mean_age,count_underages,count_males,count_females,fip,state_abbr,population,underages_ratio,male_pctg,female_pctg,perpetrators_per_1M
Delaware,2015,252,39.43217670682733,-75.54866224899588,0.12698412698412698,0.45634920634920634,26.34806629834254,30.0,230,8,10,DE,941252,0.11904761904761904,96.63865546218487,3.361344537815126,267.7285147866884
Delaware,2016,219,39.38408502415457,-75.54419806763283,0.0958904109589041,0.2831050228310502,26.45398773006135,32.0,187,16,10,DE,948921,0.1461187214611872,92.11822660098522,7.8817733990147785,230.7884428735374
Delaware,2017,246,39.35289037656904,-75.5397351464435,0.10975609756097561,0.3617886178861789,27.275862068965516,21.0,225,11,10,DE,956823,0.08536585365853659,95.33898305084746,4.661016949152542,257.1008431026428
Delaware,2018,108,39.2134329787234,-75.56782872340422,0.027777777777777776,0.07407407407407407,26.430232558139537,14.0,92,12,10,DE,965479,0.12962962962962962,88.46153846153847,11.538461538461538,111.86157337445972
District of Columbia,2013,9,38.889511111111105,-76.99293333333334,1.2222222222222223,8.0,28.0,1.0,7,0,11,DC,650581,0.1111111111111111,100.0,0.0,13.83378856744971
District of Columbia,2014,787,38.895137611181724,-76.98757268106725,0.043202033036848796,0.17026683608640406,27.086206896551722,5.0,683,7,11,DC,662328,0.0063532401524777635,98.98550724637681,1.0144927536231885,1188.233020497397
District of Columbia,2015,313,38.89215192307687,-76.99140993589731,0.15335463258785942,0.3993610223642173,26.47826086956522,6.0,238,6,11,DC,675400,0.019169329073482427,97.54098360655738,2.459016393442623,463.4290790642582
District of Columbia,2016,274,38.89825901639345,-76.99826803278688,0.145985401459854,0.42700729927007297,28.897727272727273,12.0,193,4,11,DC,685815,0.043795620437956206,97.96954314720813,2.030456852791878,399.52465314990195
District of Columbia,2017,375,38.88856308539945,-76.99097382920118,0.16266666666666665,0.456,25.84967320261438,28.0,312,15,11,DC,694906,0.07466666666666667,95.41284403669725,4.587155963302752,539.641332784578
District of Columbia,2018,154,38.8910153153153,-76.99218558558556,0.09740259740259741,0.2727272727272727,24.340425531914892,17.0,129,3,11,DC,701547,0.11038961038961038,97.72727272727273,2.272727272727273,219.514872132587
Florida,2013,8,27.028349999999996,-80.724675,2.0,2.5,44.333333333333336,0.0,8,0,12,FL,19545621,0.0,100.0,0.0,0.409298839878252
Florida,2014,2471,28.025484515605985,-81.71770194568286,0.20518008903278026,0.39781464993929583,30.148393194706994,163.0,2136,137,12,FL,19845911,0.06596519627681101,93.97272327320721,6.027276726792785,124.5092754875299
Florida,2015,1816,28.105140555555476,-81.64196055555533,0.30176211453744495,0.51431718061674,30.075804776739357,172.0,1530,93,12,FL,20209042,0.0947136563876652,94.26987060998151,5.730129390018484,89.86076628471552
Florida,2016,3351,28.022253324767096,-81.74303029232259,0.26380185019397195,0.46941211578633246,29.554744525547445,390.0,2948,231,12,FL,20613477,0.11638316920322292,92.73356401384083,7.26643598615917,162.5635500502899
Florida,2017,3409,28.26833698340867,-81.96525903469093,0.2288061014960399,0.4004106776180698,29.80219278209228,396.0,2906,202,12,FL,20963613,0.11616309768260487,93.5006435006435,6.499356499356499,162.61509883816305
Florida,2018,729,28.260436281859075,-82.01670569715147,0.3100137174211248,0.3840877914951989,30.319148936170212,70.0,595,57,12,FL,21244317,0.09602194787379972,91.25766871165644,8.742331288343559,34.315059410947406
Georgia,2013,8,32.727112500000004,-84.3496375,0.875,4.75,27.75,0.0,8,0,13,GA,9972479,0.0,100.0,0.0,0.8022077559651918
Georgia,2014,2075,33.051258216867495,-83.8027590843374,0.23518072289156627,0.3633734939759036,28.011098779134294,145.0,1855,114,13,GA,10067278,0.06987951807228916,94.2102590147283,5.789740985271711,206.11331086714802
Georgia,2015,2412,33.04990543794109,-83.66086741386479,0.2603648424543947,0.3785240464344942,28.689404934687953,212.0,2173,186,13,GA,10178447,0.087893864013267,92.11530309453158,7.884696905468418,236.9713179230584
Georgia,2016,1366,33.04564173982444,-83.75136065442938,0.3140556368960469,0.4472913616398243,28.083676268861453,122.0,1167,96,13,GA,10301890,0.08931185944363104,92.39904988123516,7.600950118764845,132.59702831228057
Georgia,2017,1670,33.17235609308027,-83.81548175137799,0.3215568862275449,0.41916167664670656,28.96124865446717,169.0,1405,96,13,GA,10410330,0.10119760479041916,93.60426382411725,6.395736175882745,160.41758522544436
Georgia,2018,394,33.168686274509824,-83.81682268907562,0.29949238578680204,0.44416243654822335,29.744897959183675,32.0,300,32,13,GA,10511131,0.08121827411167512,90.36144578313252,9.63855421686747,37.484072836690935
Hawaii,2014,38,20.934694594594593,-157.34443243243243,0.10526315789473684,0.21052631578947367,32.05,2.0,35,3,15,HI,1414538,0.05263157894736842,92.10526315789474,7.894736842105263,26.863894784021355
Hawaii,2015,75,20.392940000000007,-156.43912000000003,0.2,0.4533333333333333,32.55384615384615,7.0,63,11,15,HI,1422052,0.09333333333333334,85.13513513513513,14.864864864864865,52.74068740102331
Hawaii,2016,77,20.651321917808225,-156.7676575342465,0.4155844155844156,0.19480519480519481,36.32835820895522,0.0,69,8,15,HI,1427559,0.0,89.6103896103896,10.38961038961039,53.93822602078093
Hawaii,2017,76,20.473248648648646,-156.39860810810808,0.10526315789473684,0.23684210526315788,31.76923076923077,2.0,64,6,15,HI,1424393,0.02631578947368421,91.42857142857143,8.571428571428571,53.35606114323786
Hawaii,2018,14,20.530179999999998,-156.8042,0.07142857142857142,0.2857142857142857,37.72727272727273,0.0,11,3,15,HI,1420593,0.0,78.57142857142857,21.428571428571427,9.855039409598668
Idaho,2014,89,44.40356179775282,-115.47130337078653,0.2808988764044944,0.24719101123595505,32.78333333333333,4.0,76,7,16,ID,1631112,0.0449438202247191,91.56626506024097,8.433734939759036,54.56400296239621
Idaho,2015,180,44.58588342857143,-115.70793142857136,0.2,0.19444444444444445,32.689189189189186,19.0,161,14,16,ID,1651059,0.10555555555555556,92.0,8.0,109.02093747104131
Idaho,2016,158,44.21264074074073,-115.07741481481473,0.22784810126582278,0.27848101265822783,32.208,13.0,132,23,16,ID,1682380,0.08227848101265822,85.16129032258064,14.838709677419354,93.91457340196627
Idaho,2017,174,43.99618545454546,-114.88285454545446,0.25862068965517243,0.20114942528735633,33.53968253968254,13.0,139,23,16,ID,1717715,0.07471264367816093,85.80246913580247,14.197530864197532,101.29736306663213
Idaho,2018,42,44.34682857142858,-115.06747619047617,0.21428571428571427,0.16666666666666666,36.43333333333333,3.0,33,5,16,ID,1750536,0.07142857142857142,86.84210526315789,13.157894736842104,23.992651393630293
Illinois,2013,23,41.702934782608686,-87.7686739130435,0.4782608695652174,6.6521739130434785,23.8,0.0,19,0,17,IL,12895129,0.0,100.0,0.0,1.7836192255230638
Illinois,2014,1642,41.049216903146196,-88.44509173349778,0.22107186358099878,0.49086479902557856,26.735182849936947,136.0,1433,64,17,IL,12884493,0.0828258221680877,95.7247828991316,4.275217100868404,127.44001646009664
Illinois,2015,1889,41.277216756756786,-88.26367724324312,0.23504499735309686,0.652196929592377,26.986631016042782,124.0,1658,44,17,IL,12858913,0.065643197458973,97.41480611045829,2.5851938895417157,146.9019970817129
Illinois,2016,2766,41.39705681998412,-88.22403980967503,0.19739696312364424,0.6619667389732465,27.152974504249293,198.0,2470,59,17,IL,12820527,0.07158351409978309,97.66706207987347,2.332937920126532,215.7477613829759
Illinois,2017,3315,41.40329260541207,-88.20906286972952,0.19638009049773755,0.6440422322775264,27.480400333611342,207.0,2987,81,17,IL,12778828,0.06244343891402715,97.35984354628422,2.640156453715776,259.41346107796426
Illinois,2018,639,41.274474727272725,-88.26141709090896,0.17370892018779344,0.5492957746478874,27.471774193548388,46.0,545,12,17,IL,12723071,0.07198748043818466,97.84560143626571,2.154398563734291,50.22372350197527
Indiana,2013,3,39.591833333333334,-86.02393333333333,2.0,2.3333333333333335,41.5,0.0,1,0,18,IN,6568713,0.0,100.0,0.0,0.4567104697678221
Indiana,2014,916,40.413061657458606,-86.22085381215466,0.2554585152838428,0.3962882096069869,27.055803571428573,79.0,783,34,18,IN,6593644,0.08624454148471616,95.83843329253367,4.16156670746634,138.92166456059806
Indiana,2015,984,40.203624372384894,-86.347780125523,0.2540650406504065,0.44308943089430897,28.038888888888888,81.0,839,51,18,IN,6608422,0.08231707317073171,94.26966292134831,5.730337078651686,148.90090251500283
Indiana,2016,1160,40.232347205588866,-86.33465608782451,0.25517241379310346,0.36637931034482757,29.083215796897036,101.0,981,67,18,IN,6634304,0.08706896551724137,93.60687022900764,6.393129770992366,174.84878594649868
Indiana,2017,1275,40.204599591169206,-86.3699882256747,0.2407843137254902,0.36941176470588233,29.7,128.0,1077,83,18,IN,6658078,0.1003921568627451,92.84482758620689,7.155172413793103,191.496705205316
Indiana,2018,294,40.009207954545445,-86.36156893939402,0.23809523809523808,0.23129251700680273,31.38679245283019,26.0,232,27,18,IN,6695497,0.08843537414965986,89.57528957528957,10.424710424710424,43.91010854011285
Iowa,2014,480,41.903701677148916,-92.9090771488469,0.0875,0.22916666666666666,27.7439446366782,50.0,411,30,19,IA,3109350,0.10416666666666667,93.19727891156462,6.802721088435374,154.3731004872401
Iowa,2015,445,41.93172339449541,-92.58163669724779,0.11235955056179775,0.2786516853932584,27.838006230529594,65.0,394,21,19,IA,3120960,0.14606741573033707,94.93975903614458,5.0602409638554215,142.58433302573567
